bam,cell_type,tissue,subsetname,meta
208-30-0122-LMC-CD4pos-CXCR3neg-PD1neg-N704N517_S2.bam,cd4,LN,CXCR3_NEG.PD1_NEG,nonbulk
208-30-0133-LMC-CD4pos-CXCR3neg-PD1neg-N702N503_S7.bam,cd4,LN,CXCR3_NEG.PD1_NEG,nonbulk
N702N503-208-30-0088-LMC-CD4pos-CXCR3neg-PD1neg_S7.bam,cd4,LN,CXCR3_NEG.PD1_NEG,nonbulk
N704N517-208-30-0069-LMC-CD4pos-CXCR3neg-PD1neg_S2.bam,cd4,LN,CXCR3_NEG.PD1_NEG,nonbulk
208-30-0122-LMC-CD4pos-CXCR3pos-PD1pos-N703N504_S11.bam,cd4,LN,CXCR3_POS.PD1_POS,nonbulk
208-30-133-LMC-CD4posCXCR3posPD1pos-N701-N502_S4.bam,cd4,LN,CXCR3_POS.PD1_POS,nonbulk
N703N504-208-30-0069-LMC-CD4pos-CXCR3pos-PD1pos_S11.bam,cd4,LN,CXCR3_POS.PD1_POS,nonbulk
208-30-0069-LMC-CD4pos-CXCR5neg-PD1neg-N702N517_S1.bam,cd4,LN,CXCR5_NEG.PD1_NEG,nonbulk
208-30-0114-LMC-CD4pos-CXCR5neg-PD1neg-N706N517_S3.bam,cd4,LN,CXCR5_NEG.PD1_NEG,nonbulk
N702N517-208-30-0068-LMC-CD4pos-CXCR5neg-PD1neg_S1.bam,cd4,LN,CXCR5_NEG.PD1_NEG,nonbulk
N706N517-208-30-0054-LMC-CD4pos-CXCR5neg-PD1neg_S3.bam,cd4,LN,CXCR5_NEG.PD1_NEG,nonbulk
208-30-0069-LMC-CD4pos-CXCR5neg-PD1pos-N701N504_S10.bam,cd4,LN,CXCR5_NEG.PD1_POS,nonbulk
208-30-0114-LMC-CD4pos-CXCR5neg-PD1pos-N705N504_S12.bam,cd4,LN,CXCR5_NEG.PD1_POS,nonbulk
N701N504-208-30-0068-LMC-CD4pos-CXCR5neg-PD1pos_S10.bam,cd4,LN,CXCR5_NEG.PD1_POS,nonbulk
N705N504-208-30-0054-LMC-CD4pos-CXCR5neg-PD1pos_S12.bam,cd4,LN,CXCR5_NEG.PD1_POS,nonbulk
N705N502-208-30-0118-0-LMC-KC57neg_S6.bam,cd4,LN,HIV_NEG,nonbulk
N706N502-208-30-0116-0-LMC-3BNC117neg_S7.bam,cd4,LN,HIV_NEG,nonbulk
N703N503-208-30-0118-0-LMC-KC57pos_S9.bam,cd4,LN,HIV_POS,nonbulk
N705N517-208-30-0116-0-LMC-3BNC117pos_S3.bam,cd4,LN,HIV_POS,nonbulk
208-30-0069-LMC-GCTfh-N705N502_S6.bam,cd4,LN,Tfh,nonbulk
208-30-0114-LMC-GCTfh-N703N502_S5.bam,cd4,LN,Tfh,nonbulk
GCTfh.LMC.208-30-0037.S5.R1_val_1.PE2SE.bam,cd4,LN,Tfh,nonbulk
GCTfh.LMC.208-30-0040.S2.R1_val_1.PE2SE.bam,cd4,LN,Tfh,nonbulk
GCTfh.LMC.208-30-0052.S11.R1_val_1.PE2SE.bam,cd4,LN,Tfh,nonbulk
GCTfh.LMC.208-30-0054.S9.R1_val_1.PE2SE.bam,cd4,LN,Tfh,nonbulk
GCTfh.LMC.208-30-0068.S8.R1_val_1.PE2SE.bam,cd4,LN,Tfh,nonbulk
GCTfh.LMC.208-30-0074.S2.R1_val_1.PE2SE.bam,cd4,LN,Tfh,nonbulk
N701N502-208-30-0088-CD4pos-CXCR3pos-PD1pos_S4.bam,cd4,LN,Tfh,nonbulk
N702N502-208-30-0113-LMC-GCTfh_S4.bam,cd4,LN,Tfh,nonbulk
N703N502-208-30-0054-LMC-GCTfh_S5.bam,cd4,LN,Tfh,nonbulk
N704N502-208-30-0106-LMC-GCTfh_S5.bam,cd4,LN,Tfh,nonbulk
N705N502-208-30-0068-LMC-GCTfh_S6.bam,cd4,LN,Tfh,nonbulk
208-30-0069-LMC-TFR-N706N503_S9.bam,cd4,LN,Tfr,nonbulk
208-30-0114-LMC-TFR-N704N503_S8.bam,cd4,LN,Tfr,nonbulk
N704N503-208-30-0054-LMC-TFR_S8.bam,cd4,LN,Tfr,nonbulk
N706N503-208-30-0068-LMC-TFR_S9.bam,cd4,LN,Tfr,nonbulk
Bulk_CD8.LMC.208-30-0037.S9.R1_val_1.PE2SE.bam,cd8,LN,bulk,bulk
Bulk_CD8.LMC.208-30-0040.S6.R1_val_1.PE2SE.bam,cd8,LN,bulk,bulk
Bulk_CD8.LMC.208-30-0052.S3.R1_val_1.PE2SE.bam,cd8,LN,bulk,bulk
Bulk_CD8.LMC.208-30-0054.S12.R1_val_1.PE2SE.bam,cd8,LN,bulk,bulk
Bulk_CD8.LMC.208-30-0068.S12.R1_val_1.PE2SE.bam,cd8,LN,bulk,bulk
Bulk_CD8.LMC.208-30-0074.S6.R1_val_1.PE2SE.bam,cd8,LN,bulk,bulk
Bulk_CD8.PBMC.111-30-0010-0.S3.R1_val_1.PE2SE.bam,cd8,PB,bulk,bulk
Bulk_CD8.PBMC.111-30-0037-0.S9.R1_val_1.PE2SE.bam,cd8,PB,bulk,bulk
Bulk_CD8.PBMC.111-30-0063-0.S12.R1_val_1.PE2SE.bam,cd8,PB,bulk,bulk
Bulk_CD8.PBMC.111-30-0065-0.S8.R1_val_1.PE2SE.bam,cd8,PB,bulk,bulk
Bulk_CD8.PBMC.127-33-0816-594.S6.R1_val_1.PE2SE.bam,cd8,PB,bulk,bulk
Bulk_CD8.PBMC.127-33-1192-879.S3.R1_val_1.PE2SE.bam,cd8,PB,bulk,bulk
