sample,cell_type,cell_subset,marker1,marker2,study,pid,group
208-30-0069-LMC-CD4pos-CXCR5neg-PD1neg-N702N517_S1,cd4,nontfh,,,,0069,cd4nontfh
208-30-0069-LMC-CD4pos-CXCR5neg-PD1pos-N701N504_S10,cd4,nontfh,,,,0069,cd4nontfh
208-30-0069-LMC-GCTfh-N705N502_S6,cd4,tfh,,,,0069,cd4tfh
208-30-0069-LMC-TFR-N706N503_S9,cd4,tfr,,,,0069,cd4tfr
208-30-0114-LMC-CD4pos-CXCR5neg-PD1neg-N706N517_S3,cd4,nontfh,,,,0114,cd4nontfh
208-30-0114-LMC-CD4pos-CXCR5neg-PD1pos-N705N504_S12,cd4,nontfh,,,,0114,cd4nontfh
208-30-0114-LMC-GCTfh-N703N502_S5,cd4,tfh,,,,0114,cd4tfh
208-30-0114-LMC-TFR-N704N503_S8,cd4,tfr,,,,0114,cd4tfr
208-30-0122-LMC-CD4pos-CXCR3neg-PD1neg-N704N517_S2,cd4,cxcr3neg,,,,0122,cd4cxcr3neg
208-30-0122-LMC-CD4pos-CXCR3pos-PD1pos-N703N504_S11,cd4,cxcr3pos,,,,0122,cd4cxcr3pos
208-30-0133-LMC-CD4pos-CXCR3neg-PD1neg-N702N503_S7,cd4,cxcr3neg,,,,0133,cd4cxcr3neg
208-30-133-LMC-CD4posCXCR3posPD1pos-N701-N502_S4,cd4,cxcr3pos,,,,0133,cd4cxcr3pos
N701N502-208-30-0088-CD4pos-CXCR3pos-PD1pos_S4,cd4,cxcr3pos,,,,0088,cd4cxcr3pos
N701N503-208-30-0106-LMC-CXCR5pos-CD8_S8,cd8,fcd8,,,,0106,cd8fcd8
N701N504-208-30-0068-LMC-CD4pos-CXCR5neg-PD1pos_S10,cd4,nontfh,,,,0068,cd4nontfh
N701N517-208-30-0113-LMC-Naive-CD8_S1,cd8,naive,,,,0113,cd8naive
N702N502-208-30-0113-LMC-GCTfh_S4,cd4,tfh,,,,0113,cd4tfh
N702N503-208-30-0088-LMC-CD4pos-CXCR3neg-PD1neg_S7,cd4,cxcr3neg,,,,0088,cd4cxcr3neg
N702N504-208-30-0106-LMC-CXCR5neg-CD8_S11,cd8,nonfcd8,,,,0106,cd8nonfcd8
N702N517-208-30-0068-LMC-CD4pos-CXCR5neg-PD1neg_S1,cd4,nontfh,,,,0068,cd4nontfh
N703N502-208-30-0054-LMC-GCTfh_S5,cd4,tfh,,,,0054,cd4tfh
N703N503-208-30-0118-0-LMC-KC57pos_S9,cd4,abpos,,,,0118,cd4abpos
N703N504-208-30-0069-LMC-CD4pos-CXCR3pos-PD1pos_S11,cd4,cxcr3pos,,,,0069,cd4cxcr3pos
N703N517-208-30-0106-LMC-NaiveCD8_S2,cd8,naive,,,,0106,cd8naive
N704N502-208-30-0106-LMC-GCTfh_S5,cd4,tfh,,,,0106,cd4tfh
N704N503-208-30-0054-LMC-TFR_S8,cd4,tfr,,,,0054,cd4tfr
N704N517-208-30-0069-LMC-CD4pos-CXCR3neg-PD1neg_S2,cd4,cxcr3neg,,,,0069,cd4cxcr3neg
N705N502-208-30-0068-LMC-GCTfh_S6,cd4,tfh,,,,0068,cd4tfh
N705N502-208-30-0118-0-LMC-KC57neg_S6,cd4,abneg,,,,0118,cd4abneg
N705N503-208-30-0113-LMC-CXCR5pos-CD8_S10,cd8,fcd8,,,,0113,cd8fcd8
N705N504-208-30-0054-LMC-CD4pos-CXCR5neg-PD1pos_S12,cd4,nontfh,,,,0054,cd4nontfh
N705N517-208-30-0116-0-LMC-3BNC117pos_S3,cd4,abpos,,,,0116,cd4abpos
N706N502-208-30-0116-0-LMC-3BNC117neg_S7,cd4,abneg,,,,0116,cd4abneg
N706N503-208-30-0068-LMC-TFR_S9,cd4,tfr,,,,0068,cd4tfr
N706N504-208-30-0113-LMC-CXCR5neg-CD8_S12,cd8,nonfcd8,,,,0113,cd8nonfcd8
N706N517-208-30-0054-LMC-CD4pos-CXCR5neg-PD1neg_S3,cd4,nontfh,,,,0054,cd4nontfh
