sample,cell_type,cell_subset,marker1,marker2,study,pid,group
N501N701-208-30-0069-LMC-CD4posCXCR3posPD1pos_S1,cd4,cxcr3pos,cxcr3pos,,cxcr3,0069,cd4cxcr3pos
N501N701-208-30-0133-LMC-CD4pos-CXCR3pos-PD1pos_S1,cd4,cxcr3pos,cxcr3pos,,cxcr3,0133,cd4cxcr3pos
N501N702-208-30-0054-LMC-CD4posCXCR5negPD1pos_S2,cd4,nontfh,cxcr5neg,,tfr,0054,cd4nontfh
N501N702-208-30-0069-LMC-CD4pos-CXCR5neg-PD1pos_S8,cd4,nontfh,cxcr5neg,,tfr,0069,cd4nontfh
N501N703-208-30-0068-LMC-CD4pos-CXCR5neg-PD1pos_S1,cd4,nontfh,cxcr5neg,,tfr,0068,cd4nontfh
N502N701-208-30-0069-LMC-CD4posCXCR3negPD1neg_S3,cd4,cxcr3neg,cxcr3neg,,cxcr3,0069,cd4cxcr3neg
N502N701-208-30-0133-LMC-CD4pos-CXCR3neg-PD1neg_S2,cd4,cxcr3neg,cxcr3neg,,cxcr3,0133,cd4cxcr3neg
N502N702-208-30-0054-LMC-CD4posCXCR5negPD1neg_S4,cd4,nontfh,cxcr5neg,,tfr,0054,cd4nontfh
N502N702-208-30-0069-LMC-CD4pos-CXCR5neg-PD1neg_S9,cd4,nontfh,cxcr5neg,,tfr,0069,cd4nontfh
N502N703-208-30-0068-LMC-CD4pos-CXCR5neg-PD1neg_S2,cd4,nontfh,cxcr5neg,,tfr,0068,cd4nontfh
N503N701-208-30-0122-LMC-CD4pos-CXCR3pos-PD1pos_S3,cd4,cxcr3pos,cxcr3pos,,cxcr3,0122,cd4cxcr3pos
N503N702-208-30-0114-LMC-GCTfh_S10,cd4,tfh,cxcr5pos,,tfr,0114,cd4tfh
N503N703-208-30-0106-LMC-CXCR5pos-CD8_S3,cd8,fcd8,cxcr5pos,,tfr,0106,cd8fcd8
N503N703-208-30-0110-LMC-CXCR5-Pos-CD8_S5,cd8,fcd8,cxcr5pos,,tfr,0110,cd8fcd8
N504N701-208-30-0122-LMC-CD4pos-CXCR3neg-PD1neg_S4,cd4,cxcr3neg,cxcr3neg,,cxcr3,0122,cd4cxcr3neg
N504N702-208-30-0114-LMC-TFR_S11,cd4,tfr,cxcr5pos,,tfr,0114,cd4tfr
N504N703-208-30-0106-LMC-CXCR5neg-CD8_S4,cd8,nonfcd8,cxcr5neg,,tfr,0106,cd8nonfcd8
N504N703-208-30-0110-LMC-CXCR5-Neg-CD8_S6,cd8,nonfcd8,cxcr5neg,,tfr,0110,cd8nonfcd8
N505N701-208-30-0088-LMC-CD4pos-CXCR3pos-PD1pos_S5,cd4,cxcr3pos,cxcr3pos,,cxcr3,0088,cd4cxcr3pos
N505N701-208-30-0135-LMC-CD4posCXCR3posPD1pos_S7,cd4,cxcr3pos,cxcr3pos,,cxcr3,0135,cd4cxcr3pos
N505N702-208-30-0114-LMC-CD4pos-CXCR5neg-PD1pos_S9,cd4,nontfh,cxcr5neg,,,0144,cd4nontfh
N505N703-208-30-0106-LMC-Naive-CD8_S5,cd8,naive,naive,,,0106,cd8naive
N506N701-208-30-0088-LMC-CD4pos-CXCR3neg-PD1neg_S6,cd4,cxcr3neg,cxcr3neg,,cxcr3,0088,cd4cxcr3neg
N506N701-208-30-0135-LMC-CD4posCXCR3negPD1neg_S8,cd4,cxcr3neg,cxcr3neg,,cxcr3,0135,cd4cxcr3neg
N506N702-208-30-0114-LMC-CD4pos-CXCR5neg-PD1neg_S10,cd4,nontfh,cxcr5neg,,cxcr5,0144,cd4nontfh
N506N703-208-30-0106-LMC-GCTfh_S6,cd4,tfh,cxcr5pos,,tfr,0106,cd4tfh
N507N701-208-30-0054-LMC-GCTfh_S9,cd4,tfh,cxcr5pos,,tfr,0054,cd4tfh
N507N701-208-30-0069-LMC-GCTfh_S7,cd4,tfh,cxcr5pos,,tfr,0069,cd4tfh
N507N702-208-30-0068-LMC-GCTfh_S11,cd4,tfh,cxcr5pos,,tfr,0068,cd4tfh
N507N703-208-30-0113-LMC-CXCR5pos-CD8_S7,cd8,fcd8,cxcr5pos,,tfr,0133,cd8fcd8
N507N703-208-30-0113-LMC-NaiveCD8_S10,cd8,naive,naive,,,0133,cd8naive
N508N701-208-30-0054-LMC-TFR_S11,cd4,tfr,cxcr5pos,,tfr,0054,cd4tfr
N508N701-208-30-0069-LMC-TFR_S12,cd4,tfr,cxcr5pos,,tfr,0069,cd4tfr
N508N702-208-30-0068-LMC-TFR_S12,cd4,tfr,cxcr5pos,,tfr,0068,cd4tfr
N508N703-208-30-0113-LMC-CXCR5neg-CD8_S8,cd8,nonfcd8,cxcr5neg,,cxcr3,0113,cd8nonfcd8
N508N703-208-30-0113-LMC-GCTfh_S12,cd4,tfh,cxcr5pos,,,0113,cd4tfh
